data,value
08/10/2019 22:00:00,58.40
08/10/2019 22:02:00,0.20
08/10/2019 22:04:00,0.00
08/10/2019 22:06:00,0.20
08/10/2019 22:08:00,0.20
08/10/2019 22:10:00,64.20
08/10/2019 22:12:00,58.20
08/10/2019 22:14:00,0.00
08/10/2019 22:16:00,0.20
08/10/2019 22:18:00,0.00
08/10/2019 22:20:00,0.20
08/10/2019 22:22:00,61.40
08/10/2019 22:24:00,0.20
08/10/2019 22:26:00,0.20
08/10/2019 22:28:00,0.30
08/10/2019 22:30:00,0.20
08/10/2019 22:32:00,71.70
08/10/2019 22:34:00,60.20
08/10/2019 22:36:00,0.20
08/10/2019 22:38:00,0.30
08/10/2019 22:40:00,0.20
08/10/2019 22:42:00,0.20
08/10/2019 22:44:00,72.50
08/10/2019 22:46:00,59.50
08/10/2019 22:48:00,0.00
08/10/2019 22:50:00,0.00
08/10/2019 22:52:00,0.00
08/10/2019 22:54:00,0.00
08/10/2019 22:56:00,70.30
08/10/2019 22:58:00,58.80
08/10/2019 23:00:00,0.20
08/10/2019 23:02:00,0.20
08/10/2019 23:04:00,0.00
08/10/2019 23:06:00,0.20
08/10/2019 23:08:00,63.90
08/10/2019 23:10:00,58.40
08/10/2019 23:12:00,0.00
08/10/2019 23:14:00,0.00
08/10/2019 23:16:00,0.20
08/10/2019 23:18:00,0.20
08/10/2019 23:20:00,61.80
08/10/2019 23:22:00,0.00
08/10/2019 23:24:00,0.30
08/10/2019 23:26:00,0.20
08/10/2019 23:28:00,0.00
08/10/2019 23:30:00,0.00
08/10/2019 23:32:00,60.70
08/10/2019 23:34:00,0.30
08/10/2019 23:36:00,0.00
08/10/2019 23:38:00,0.20
08/10/2019 23:40:00,0.30
08/10/2019 23:42:00,69.70
08/10/2019 23:44:00,60.00
08/10/2019 23:46:00,0.20
08/10/2019 23:48:00,0.20
08/10/2019 23:50:00,0.20
08/10/2019 23:52:00,0.20
08/10/2019 23:54:00,72.30
08/10/2019 23:56:00,59.50
08/10/2019 23:58:00,0.30
09/10/2019 00:00:00,0.20
09/10/2019 00:02:00,0.20
09/10/2019 00:04:00,0.20
09/10/2019 00:06:00,70.80
09/10/2019 00:08:00,59.00
09/10/2019 00:10:00,0.30
09/10/2019 00:12:00,0.00
09/10/2019 00:14:00,0.20
09/10/2019 00:16:00,0.20
09/10/2019 00:18:00,69.00
09/10/2019 00:20:00,58.90
09/10/2019 00:22:00,0.20
09/10/2019 00:24:00,0.20
09/10/2019 00:26:00,0.20
09/10/2019 00:28:00,0.20
09/10/2019 00:30:00,65.50
09/10/2019 00:32:00,58.60
09/10/2019 00:34:00,0.20
09/10/2019 00:36:00,0.20
09/10/2019 00:38:00,0.20
09/10/2019 00:40:00,0.30
09/10/2019 00:42:00,62.90
09/10/2019 00:44:00,0.00
09/10/2019 00:46:00,0.20
09/10/2019 00:48:00,0.20
09/10/2019 00:50:00,0.30
09/10/2019 00:52:00,0.20
09/10/2019 00:54:00,62.30
09/10/2019 00:56:00,0.30
09/10/2019 00:58:00,0.00
09/10/2019 01:00:00,0.20
09/10/2019 01:02:00,0.00
09/10/2019 01:04:00,0.20
09/10/2019 01:06:00,61.40
09/10/2019 01:08:00,0.00
09/10/2019 01:10:00,0.20
09/10/2019 01:12:00,0.20
09/10/2019 01:14:00,0.30
09/10/2019 01:16:00,0.00
09/10/2019 01:18:00,61.00
09/10/2019 01:20:00,0.20
09/10/2019 01:22:00,0.20
09/10/2019 01:24:00,0.30
09/10/2019 01:26:00,0.00
09/10/2019 01:28:00,247.40
09/10/2019 01:30:00,60.60
09/10/2019 01:32:00,0.20
09/10/2019 01:34:00,0.00
09/10/2019 01:36:00,0.20
09/10/2019 01:38:00,0.20
09/10/2019 01:40:00,70.30
09/10/2019 01:42:00,59.70
09/10/2019 01:44:00,0.20
09/10/2019 01:46:00,0.00
09/10/2019 01:48:00,0.20
09/10/2019 01:50:00,0.00
09/10/2019 01:52:00,72.00
09/10/2019 01:54:00,59.40
09/10/2019 01:56:00,0.30
09/10/2019 01:58:00,0.30
09/10/2019 02:00:00,0.00
09/10/2019 02:02:00,0.20
09/10/2019 02:04:00,72.10
09/10/2019 02:06:00,59.60
09/10/2019 02:08:00,0.00
09/10/2019 02:10:00,0.20
09/10/2019 02:12:00,0.30
09/10/2019 02:14:00,0.30
09/10/2019 02:16:00,72.20
09/10/2019 02:18:00,59.10
09/10/2019 02:20:00,0.20
09/10/2019 02:22:00,0.20
09/10/2019 02:24:00,0.20
09/10/2019 02:26:00,0.20
09/10/2019 02:28:00,71.80
09/10/2019 02:30:00,59.10
09/10/2019 02:32:00,0.30
09/10/2019 02:34:00,0.30
09/10/2019 02:36:00,0.20
09/10/2019 02:38:00,0.20
09/10/2019 02:40:00,71.80
09/10/2019 02:42:00,59.10
09/10/2019 02:44:00,0.00
09/10/2019 02:46:00,0.20
09/10/2019 02:48:00,0.00
09/10/2019 02:50:00,0.30
09/10/2019 02:52:00,70.60
09/10/2019 02:54:00,59.00
09/10/2019 02:56:00,0.20
09/10/2019 02:58:00,0.20
09/10/2019 03:00:00,0.20
09/10/2019 03:02:00,0.20
09/10/2019 03:04:00,70.00
09/10/2019 03:06:00,58.60
09/10/2019 03:08:00,0.20
09/10/2019 03:10:00,0.20
09/10/2019 03:12:00,0.20
09/10/2019 03:14:00,0.00
09/10/2019 03:16:00,68.10
09/10/2019 03:18:00,58.60
09/10/2019 03:20:00,0.20
09/10/2019 03:22:00,0.00
09/10/2019 03:24:00,0.20
09/10/2019 03:26:00,0.00
09/10/2019 03:28:00,66.30
09/10/2019 03:30:00,58.30
09/10/2019 03:32:00,0.20
09/10/2019 03:34:00,0.20
09/10/2019 03:36:00,0.20
09/10/2019 03:38:00,0.20
09/10/2019 03:40:00,67.90
09/10/2019 03:42:00,58.40
09/10/2019 03:44:00,0.20
09/10/2019 03:46:00,0.20
09/10/2019 03:48:00,0.20
09/10/2019 03:50:00,0.20
09/10/2019 03:52:00,68.50
09/10/2019 03:54:00,58.20
09/10/2019 03:56:00,0.20
09/10/2019 03:58:00,0.20
09/10/2019 04:00:00,0.20
09/10/2019 04:02:00,0.30
09/10/2019 04:04:00,68.50
09/10/2019 04:06:00,58.30
09/10/2019 04:08:00,0.20
09/10/2019 04:10:00,0.20
09/10/2019 04:12:00,0.00
09/10/2019 04:14:00,0.20
09/10/2019 04:16:00,70.10
09/10/2019 04:18:00,58.60
09/10/2019 04:20:00,0.20
09/10/2019 04:22:00,0.00
09/10/2019 04:24:00,0.00
09/10/2019 04:26:00,0.30
09/10/2019 04:28:00,69.40
09/10/2019 04:30:00,58.20
09/10/2019 04:32:00,0.00
09/10/2019 04:34:00,0.20
09/10/2019 04:36:00,0.00
09/10/2019 04:38:00,0.20
09/10/2019 04:40:00,70.50
09/10/2019 04:42:00,58.70
09/10/2019 04:44:00,0.00
09/10/2019 04:46:00,0.20
09/10/2019 04:48:00,0.20
09/10/2019 04:50:00,0.20
09/10/2019 04:52:00,71.30
09/10/2019 04:54:00,58.50
09/10/2019 04:56:00,0.00
09/10/2019 04:58:00,0.00
09/10/2019 05:00:00,0.20
09/10/2019 05:02:00,0.00
09/10/2019 05:04:00,70.20
09/10/2019 05:06:00,58.20
09/10/2019 05:08:00,0.00
09/10/2019 05:10:00,0.00
09/10/2019 05:12:00,0.00
09/10/2019 05:14:00,0.20
09/10/2019 05:16:00,0.00
09/10/2019 05:18:00,59.80
09/10/2019 05:20:00,0.00
09/10/2019 05:22:00,0.00
09/10/2019 05:24:00,0.00
09/10/2019 05:26:00,0.20
09/10/2019 05:29:00,0.20
09/10/2019 05:31:00,61.50
09/10/2019 05:33:00,56.90
09/10/2019 05:35:00,0.00
09/10/2019 05:37:00,0.20
09/10/2019 05:39:00,0.20
09/10/2019 05:41:00,0.20
09/10/2019 05:43:00,69.40
09/10/2019 05:45:00,57.90
09/10/2019 05:47:00,0.00
09/10/2019 05:49:00,0.00
09/10/2019 05:51:00,0.00
09/10/2019 05:53:00,0.00
09/10/2019 05:55:00,69.10
09/10/2019 05:57:00,58.00
09/10/2019 05:59:00,0.00
09/10/2019 06:01:00,0.20
09/10/2019 06:03:00,0.00
09/10/2019 06:05:00,0.20
09/10/2019 06:07:00,0.00
09/10/2019 06:09:00,61.10
09/10/2019 06:11:00,0.00
09/10/2019 06:13:00,0.00
09/10/2019 06:15:00,0.00
09/10/2019 06:17:00,0.20
09/10/2019 06:19:00,0.20
09/10/2019 06:21:00,68.00
09/10/2019 06:23:00,57.90
09/10/2019 06:25:00,0.00
09/10/2019 06:27:00,0.00
09/10/2019 06:29:00,0.00
09/10/2019 06:31:00,0.00
09/10/2019 06:33:00,69.40
09/10/2019 06:35:00,58.80
09/10/2019 06:37:00,0.00
09/10/2019 06:39:00,0.00
09/10/2019 06:41:00,0.00
09/10/2019 06:43:00,0.30
09/10/2019 06:45:00,0.20
09/10/2019 06:47:00,60.30
09/10/2019 06:49:00,0.00
09/10/2019 06:51:00,0.20
09/10/2019 06:53:00,0.20
09/10/2019 06:55:00,0.20
09/10/2019 06:57:00,0.00
09/10/2019 06:59:00,63.70
09/10/2019 07:01:00,57.50
09/10/2019 07:03:00,0.20
09/10/2019 07:05:00,0.00
09/10/2019 07:07:00,0.00
09/10/2019 07:09:00,0.00
09/10/2019 07:11:00,70.30
09/10/2019 07:13:00,57.80
09/10/2019 07:15:00,0.20
09/10/2019 07:17:00,0.20
09/10/2019 07:19:00,0.00
09/10/2019 07:21:00,0.30
09/10/2019 07:23:00,70.10
09/10/2019 07:25:00,59.40
09/10/2019 07:27:00,0.00
09/10/2019 07:29:00,0.00
09/10/2019 07:31:00,0.20
09/10/2019 07:33:00,0.30
09/10/2019 07:35:00,0.20
09/10/2019 07:37:00,60.30
09/10/2019 07:39:00,0.20
09/10/2019 07:41:00,0.20
09/10/2019 07:43:00,0.20
09/10/2019 07:45:00,0.20
09/10/2019 07:47:00,0.00
09/10/2019 07:49:00,63.00
09/10/2019 07:51:00,57.40
09/10/2019 07:53:00,0.00
09/10/2019 07:55:00,0.00
09/10/2019 07:57:00,0.20
09/10/2019 07:59:00,0.00
09/10/2019 08:01:00,68.60
09/10/2019 08:03:00,58.00
09/10/2019 08:05:00,0.00
09/10/2019 08:07:00,0.00
09/10/2019 08:09:00,0.00
09/10/2019 08:11:00,0.00
09/10/2019 08:13:00,70.50
09/10/2019 08:15:00,58.60
09/10/2019 08:17:00,0.20
09/10/2019 08:19:00,0.00
09/10/2019 08:21:00,0.20
09/10/2019 08:23:00,0.20
09/10/2019 08:25:00,69.40
09/10/2019 08:27:00,59.30
09/10/2019 08:29:00,0.00
09/10/2019 08:31:00,0.00
09/10/2019 08:33:00,0.20
09/10/2019 08:35:00,0.20
09/10/2019 08:37:00,0.20
09/10/2019 08:39:00,60.30
09/10/2019 08:41:00,0.20
09/10/2019 08:43:00,0.00
09/10/2019 08:45:00,0.20
09/10/2019 08:47:00,0.00
