data,value
10/09/2019 09:00:00,0.45
10/09/2019 09:01:00,0.45
10/09/2019 09:02:00,0.45
10/09/2019 09:03:00,0.45
10/09/2019 09:04:00,0.45
10/09/2019 09:05:00,0.45
10/09/2019 09:06:00,0.45
10/09/2019 09:07:00,0.45
10/09/2019 09:08:00,0.45
10/09/2019 09:09:00,0.45
10/09/2019 09:10:00,0.45
10/09/2019 09:11:00,0.45
10/09/2019 09:12:00,0.45
10/09/2019 09:13:00,0.45
10/09/2019 09:14:00,0.45
10/09/2019 09:15:00,0.45
10/09/2019 09:16:00,0.45
10/09/2019 09:17:00,0.45
10/09/2019 09:18:00,0.45
10/09/2019 09:19:00,0.45
10/09/2019 09:20:00,0.45
10/09/2019 09:21:00,0.45
10/09/2019 09:22:00,0.45
10/09/2019 09:23:00,0.45
10/09/2019 09:24:00,0.45
10/09/2019 09:25:00,0.45
10/09/2019 09:26:00,0.45
10/09/2019 09:27:00,0.45
10/09/2019 09:28:00,0.46
10/09/2019 09:29:00,0.46
10/09/2019 09:30:00,0.46
10/09/2019 09:31:00,0.46
10/09/2019 09:32:00,0.46
10/09/2019 09:33:00,0.46
10/09/2019 09:34:00,0.46
10/09/2019 09:35:00,0.46
10/09/2019 09:36:00,0.46
10/09/2019 09:37:00,0.46
10/09/2019 09:38:00,0.47
10/09/2019 09:39:00,0.47
10/09/2019 09:40:00,0.47
10/09/2019 09:41:00,0.47
10/09/2019 09:42:00,0.47
10/09/2019 09:43:00,0.47
10/09/2019 09:44:00,0.47
10/09/2019 09:45:00,0.47
10/09/2019 09:46:00,0.47
10/09/2019 09:47:00,0.47
10/09/2019 09:48:00,0.47
10/09/2019 09:49:00,0.47
10/09/2019 09:50:00,0.47
10/09/2019 09:51:00,0.47
10/09/2019 09:52:00,0.47
10/09/2019 09:53:00,0.47
10/09/2019 09:54:00,0.47
10/09/2019 09:55:00,0.47
10/09/2019 09:56:00,0.47
10/09/2019 09:57:00,0.47
10/09/2019 09:58:00,0.47
10/09/2019 09:59:00,0.47
10/09/2019 10:00:00,0.47
10/09/2019 10:01:00,0.47
10/09/2019 10:02:00,0.47
10/09/2019 10:03:00,0.47
10/09/2019 10:04:00,0.47
10/09/2019 10:05:00,0.47
10/09/2019 10:06:00,0.47
10/09/2019 10:07:00,0.47
10/09/2019 10:08:00,0.47
10/09/2019 10:09:00,0.47
10/09/2019 10:10:00,0.47
10/09/2019 10:11:00,0.48
10/09/2019 10:12:00,0.48
10/09/2019 10:13:00,0.48
10/09/2019 10:14:00,0.48
10/09/2019 10:15:00,0.48
10/09/2019 10:16:00,0.48
10/09/2019 10:17:00,0.48
10/09/2019 10:18:00,0.48
10/09/2019 10:19:00,0.48
10/09/2019 10:20:00,0.48
10/09/2019 10:21:00,0.49
10/09/2019 10:22:00,0.49
10/09/2019 10:23:00,0.49
10/09/2019 10:24:00,0.49
10/09/2019 10:25:00,0.49
10/09/2019 10:26:00,0.49
10/09/2019 10:27:00,0.49
10/09/2019 10:28:00,0.49
10/09/2019 10:29:00,0.49
10/09/2019 10:30:00,0.49
10/09/2019 10:31:00,0.49
10/09/2019 10:32:00,0.49
10/09/2019 10:33:00,0.49
10/09/2019 10:34:00,0.49
10/09/2019 10:35:00,0.49
10/09/2019 10:36:00,0.49
10/09/2019 10:37:00,0.49
10/09/2019 10:38:00,0.49
10/09/2019 10:39:00,0.49
10/09/2019 10:40:00,0.49
10/09/2019 10:41:00,0.49
10/09/2019 10:42:00,0.49
10/09/2019 10:43:00,0.49
10/09/2019 10:44:00,0.49
10/09/2019 10:45:00,0.49
10/09/2019 10:46:00,0.49
10/09/2019 10:47:00,0.49
10/09/2019 10:48:00,0.49
10/09/2019 10:49:00,0.49
10/09/2019 10:50:00,0.49
10/09/2019 10:51:00,0.49
10/09/2019 10:52:00,0.49
10/09/2019 10:53:00,0.49
10/09/2019 10:54:00,0.49
10/09/2019 10:55:00,0.49
10/09/2019 10:56:00,0.49
10/09/2019 10:57:00,0.50
10/09/2019 10:58:00,0.50
10/09/2019 10:59:00,0.50
10/09/2019 11:00:00,0.50
