data,value
09/09/2019 00:00:00,0.26
10/09/2019 00:00:00,0.53
11/09/2019 00:00:00,0.64
12/09/2019 00:00:00,0.45
13/09/2019 00:00:00,0.55
14/09/2019 00:00:00,0.57
15/09/2019 00:00:00,0.61
19/09/2019 00:00:00,0.25
20/09/2019 00:00:00,0.62
21/09/2019 00:00:00,0.25
22/09/2019 00:00:00,0.27
23/09/2019 00:00:00,0.53
24/09/2019 00:00:00,0.42
25/09/2019 00:00:00,0.57
26/09/2019 00:00:00,0.52
27/09/2019 00:00:00,0.57
28/09/2019 00:00:00,0.28
30/09/2019 00:00:00,0.13
01/10/2019 00:00:00,0.62
02/10/2019 00:00:00,0.44
03/10/2019 00:00:00,0.09
04/10/2019 00:00:00,0.49
05/10/2019 00:00:00,0.50
06/10/2019 00:00:00,0.46
07/10/2019 00:00:00,0.46
08/10/2019 00:00:00,0.48
