data,value
12/09/2019 22:01:00,0.20
12/09/2019 22:03:00,0.20
12/09/2019 22:05:00,67.00
12/09/2019 22:07:00,60.20
12/09/2019 22:09:00,59.70
12/09/2019 22:11:00,60.30
12/09/2019 22:13:00,60.30
12/09/2019 22:15:00,60.10
12/09/2019 22:17:00,59.80
12/09/2019 22:19:00,59.00
12/09/2019 22:21:00,0.30
12/09/2019 22:23:00,0.20
12/09/2019 22:25:00,0.00
12/09/2019 22:27:00,0.00
12/09/2019 22:29:00,0.20
12/09/2019 22:31:00,0.20
12/09/2019 22:33:00,0.20
12/09/2019 22:35:00,0.00
12/09/2019 22:37:00,0.00
12/09/2019 22:39:00,0.20
12/09/2019 22:41:00,0.00
12/09/2019 22:43:00,0.20
12/09/2019 22:45:00,0.20
12/09/2019 22:47:00,70.10
12/09/2019 22:49:00,60.60
12/09/2019 22:51:00,60.20
12/09/2019 22:53:00,60.60
12/09/2019 22:55:00,60.50
12/09/2019 22:57:00,60.00
12/09/2019 22:59:00,59.40
12/09/2019 23:01:00,59.00
12/09/2019 23:03:00,0.20
12/09/2019 23:05:00,0.20
12/09/2019 23:07:00,0.20
12/09/2019 23:09:00,0.00
12/09/2019 23:11:00,0.20
12/09/2019 23:13:00,0.30
12/09/2019 23:15:00,0.30
12/09/2019 23:17:00,0.20
12/09/2019 23:19:00,0.20
12/09/2019 23:21:00,0.20
12/09/2019 23:23:00,0.20
12/09/2019 23:26:00,0.20
12/09/2019 23:28:00,0.20
12/09/2019 23:30:00,69.10
12/09/2019 23:32:00,60.20
12/09/2019 23:34:00,59.90
12/09/2019 23:36:00,60.20
12/09/2019 23:38:00,60.10
12/09/2019 23:40:00,59.60
12/09/2019 23:42:00,59.60
12/09/2019 23:44:00,59.30
12/09/2019 23:46:00,0.30
12/09/2019 23:48:00,0.20
12/09/2019 23:50:00,0.20
12/09/2019 23:52:00,0.20
12/09/2019 23:54:00,0.30
12/09/2019 23:56:00,0.20
12/09/2019 23:58:00,0.20
13/09/2019 00:00:00,0.20
13/09/2019 00:02:00,0.20
13/09/2019 00:04:00,0.20
13/09/2019 00:06:00,0.20
13/09/2019 00:08:00,0.30
13/09/2019 00:10:00,0.20
13/09/2019 00:12:00,62.80
13/09/2019 00:14:00,60.20
13/09/2019 00:16:00,60.20
13/09/2019 00:18:00,60.20
13/09/2019 00:20:00,60.20
13/09/2019 00:22:00,59.70
13/09/2019 00:24:00,59.10
13/09/2019 00:26:00,0.20
13/09/2019 00:28:00,0.30
13/09/2019 00:30:00,0.20
13/09/2019 00:32:00,0.20
13/09/2019 00:34:00,0.20
13/09/2019 00:36:00,0.20
13/09/2019 00:38:00,0.00
13/09/2019 00:40:00,0.20
13/09/2019 00:42:00,0.20
13/09/2019 00:44:00,0.20
13/09/2019 00:46:00,0.20
13/09/2019 00:48:00,0.20
13/09/2019 00:50:00,0.20
13/09/2019 00:52:00,0.20
13/09/2019 00:54:00,61.00
13/09/2019 00:56:00,60.20
13/09/2019 00:58:00,60.00
13/09/2019 01:00:00,60.10
13/09/2019 01:02:00,59.90
13/09/2019 01:04:00,59.70
13/09/2019 01:06:00,59.40
13/09/2019 01:08:00,0.30
13/09/2019 01:10:00,0.20
13/09/2019 01:12:00,0.20
13/09/2019 01:14:00,0.00
13/09/2019 01:16:00,0.20
13/09/2019 01:18:00,0.00
13/09/2019 01:20:00,0.00
13/09/2019 01:22:00,0.30
13/09/2019 01:24:00,0.30
13/09/2019 01:26:00,0.20
13/09/2019 01:28:00,0.20
13/09/2019 01:30:00,0.20
13/09/2019 01:32:00,0.00
13/09/2019 01:34:00,68.60
13/09/2019 01:36:00,60.20
13/09/2019 01:38:00,60.20
13/09/2019 01:40:00,59.90
13/09/2019 01:42:00,60.10
13/09/2019 01:44:00,59.80
13/09/2019 01:46:00,59.40
13/09/2019 01:48:00,0.20
13/09/2019 01:50:00,0.00
13/09/2019 01:52:00,0.20
13/09/2019 01:54:00,0.30
13/09/2019 01:56:00,0.20
13/09/2019 01:58:00,0.30
13/09/2019 02:00:00,0.20
13/09/2019 02:02:00,0.20
13/09/2019 02:04:00,0.20
13/09/2019 02:06:00,0.30
13/09/2019 02:08:00,0.20
13/09/2019 02:10:00,0.20
13/09/2019 02:12:00,0.20
13/09/2019 02:14:00,70.70
13/09/2019 02:16:00,60.50
13/09/2019 02:18:00,59.80
13/09/2019 02:20:00,60.20
13/09/2019 02:22:00,60.10
13/09/2019 02:24:00,59.70
13/09/2019 02:26:00,59.50
13/09/2019 02:28:00,59.40
13/09/2019 02:30:00,0.00
13/09/2019 02:32:00,0.20
13/09/2019 02:34:00,0.20
13/09/2019 02:36:00,0.20
13/09/2019 02:38:00,0.20
13/09/2019 02:40:00,0.30
13/09/2019 02:42:00,0.20
13/09/2019 02:44:00,0.20
13/09/2019 02:46:00,0.20
13/09/2019 02:48:00,0.30
13/09/2019 02:50:00,0.20
13/09/2019 02:52:00,0.00
13/09/2019 02:54:00,0.30
13/09/2019 02:56:00,61.00
13/09/2019 02:58:00,60.00
13/09/2019 03:00:00,60.20
13/09/2019 03:02:00,60.00
13/09/2019 03:04:00,59.80
13/09/2019 03:06:00,59.40
13/09/2019 03:08:00,59.40
13/09/2019 03:10:00,0.20
13/09/2019 03:12:00,0.30
13/09/2019 03:14:00,0.20
13/09/2019 03:16:00,0.20
13/09/2019 03:18:00,0.30
13/09/2019 03:20:00,0.20
13/09/2019 03:22:00,0.20
13/09/2019 03:24:00,0.20
13/09/2019 03:26:00,0.30
13/09/2019 03:28:00,0.30
13/09/2019 03:30:00,0.20
