data,value
22/09/2019 09:44:00,0.00
22/09/2019 09:46:00,0.00
22/09/2019 09:48:00,0.20
22/09/2019 09:50:00,0.00
22/09/2019 09:52:00,0.20
22/09/2019 09:54:00,0.00
22/09/2019 09:56:00,0.20
22/09/2019 09:58:00,0.00
22/09/2019 10:00:00,0.00
22/09/2019 10:02:00,0.20
22/09/2019 10:04:00,0.20
22/09/2019 10:06:00,0.00
22/09/2019 10:08:00,0.20
22/09/2019 10:10:00,59.80
22/09/2019 10:12:00,59.30
22/09/2019 10:14:00,58.60
22/09/2019 10:16:00,59.20
22/09/2019 10:18:00,59.80
22/09/2019 10:21:00,59.40
22/09/2019 10:23:00,58.80
22/09/2019 10:25:00,0.20
22/09/2019 10:27:00,0.20
22/09/2019 10:29:00,0.00
22/09/2019 10:31:00,0.20
22/09/2019 10:33:00,0.20
22/09/2019 10:35:00,0.20
22/09/2019 10:37:00,0.00
22/09/2019 10:39:00,0.00
22/09/2019 10:41:00,0.30
22/09/2019 10:43:00,0.20
22/09/2019 10:45:00,0.20
22/09/2019 10:47:00,0.00
22/09/2019 10:49:00,0.20
22/09/2019 10:51:00,60.20
22/09/2019 10:53:00,59.00
22/09/2019 10:55:00,59.60
22/09/2019 10:57:00,59.80
22/09/2019 10:59:00,59.50
22/09/2019 11:01:00,58.90
22/09/2019 11:03:00,59.00
22/09/2019 11:05:00,0.20
22/09/2019 11:07:00,0.00
22/09/2019 11:09:00,0.00
22/09/2019 11:11:00,0.00
22/09/2019 11:13:00,0.30
22/09/2019 11:15:00,0.30
22/09/2019 11:17:00,0.00
22/09/2019 11:19:00,0.30
22/09/2019 11:21:00,0.20
22/09/2019 11:23:00,0.00
22/09/2019 11:25:00,0.20
22/09/2019 11:27:00,0.20
22/09/2019 11:29:00,0.00
22/09/2019 11:31:00,63.00
22/09/2019 11:33:00,59.00
22/09/2019 11:35:00,59.20
22/09/2019 11:37:00,59.40
22/09/2019 11:39:00,59.70
22/09/2019 11:41:00,58.90
22/09/2019 11:43:00,58.70
22/09/2019 11:45:00,0.20
22/09/2019 11:47:00,0.20
22/09/2019 11:49:00,0.20
22/09/2019 11:51:00,0.20
22/09/2019 11:53:00,0.30
22/09/2019 11:55:00,0.00
22/09/2019 11:57:00,0.20
22/09/2019 11:59:00,0.20
22/09/2019 12:01:00,0.20
22/09/2019 12:03:00,0.20
22/09/2019 12:05:00,0.00
22/09/2019 12:07:00,0.20
22/09/2019 12:09:00,0.20
22/09/2019 12:11:00,62.30
22/09/2019 12:13:00,59.20
22/09/2019 12:15:00,59.50
22/09/2019 12:17:00,59.60
22/09/2019 12:19:00,59.50
22/09/2019 12:21:00,59.40
22/09/2019 12:23:00,58.80
22/09/2019 12:25:00,0.20
22/09/2019 12:27:00,0.20
22/09/2019 12:29:00,0.30
22/09/2019 12:31:00,0.30
22/09/2019 12:33:00,0.20
22/09/2019 12:35:00,0.20
22/09/2019 12:37:00,0.00
22/09/2019 12:39:00,0.20
22/09/2019 12:41:00,0.20
22/09/2019 12:43:00,0.00
22/09/2019 12:45:00,0.00
22/09/2019 12:47:00,0.20
22/09/2019 12:49:00,0.00
22/09/2019 12:51:00,61.40
22/09/2019 12:53:00,59.20
22/09/2019 12:55:00,59.20
22/09/2019 12:57:00,58.90
22/09/2019 12:59:00,59.40
22/09/2019 13:01:00,58.80
22/09/2019 13:03:00,59.00
22/09/2019 13:05:00,0.20
22/09/2019 13:07:00,0.20
22/09/2019 13:09:00,0.00
22/09/2019 13:11:00,0.20
22/09/2019 13:13:00,0.30
22/09/2019 13:15:00,0.20
22/09/2019 13:17:00,0.30
22/09/2019 13:19:00,0.00
22/09/2019 13:21:00,0.20
22/09/2019 13:23:00,0.30
22/09/2019 13:25:00,0.00
22/09/2019 13:27:00,0.20
22/09/2019 13:29:00,0.00
22/09/2019 13:31:00,61.40
22/09/2019 13:33:00,59.40
22/09/2019 13:35:00,59.50
22/09/2019 13:37:00,59.40
22/09/2019 13:39:00,59.80
22/09/2019 13:41:00,59.30
22/09/2019 13:43:00,59.40
22/09/2019 13:45:00,0.20
22/09/2019 13:47:00,0.30
22/09/2019 13:49:00,0.20
22/09/2019 13:51:00,0.20
22/09/2019 13:53:00,0.20
22/09/2019 13:55:00,0.00
22/09/2019 13:57:00,0.00
22/09/2019 13:59:00,0.00
22/09/2019 14:01:00,0.00
22/09/2019 14:03:00,0.20
22/09/2019 14:05:00,0.00
22/09/2019 14:07:00,0.00
22/09/2019 14:09:00,0.00
22/09/2019 14:11:00,67.00
22/09/2019 14:13:00,59.40
22/09/2019 14:15:00,59.70
22/09/2019 14:17:00,59.70
22/09/2019 14:19:00,59.70
22/09/2019 14:21:00,59.50
22/09/2019 14:23:00,59.10
22/09/2019 14:25:00,0.20
22/09/2019 14:27:00,0.30
22/09/2019 14:29:00,0.20
22/09/2019 14:31:00,0.20
22/09/2019 14:33:00,0.00
22/09/2019 14:35:00,0.20
22/09/2019 14:37:00,0.30
22/09/2019 14:39:00,0.20
22/09/2019 14:41:00,0.00
22/09/2019 14:43:00,0.00
22/09/2019 14:45:00,0.00
22/09/2019 14:47:00,0.20
22/09/2019 14:49:00,0.20
22/09/2019 14:51:00,69.50
22/09/2019 14:53:00,59.00
22/09/2019 14:55:00,59.40
22/09/2019 14:58:00,59.90
22/09/2019 15:00:00,59.60
22/09/2019 15:02:00,59.50
22/09/2019 15:04:00,59.60
22/09/2019 15:06:00,58.80
22/09/2019 15:08:00,0.30
22/09/2019 15:10:00,0.20
22/09/2019 15:12:00,0.20
22/09/2019 15:14:00,0.20
22/09/2019 15:16:00,0.20
22/09/2019 15:18:00,0.30
22/09/2019 15:20:00,0.00
22/09/2019 15:22:00,0.30
22/09/2019 15:24:00,0.20
22/09/2019 15:26:00,0.20
22/09/2019 15:28:00,0.20
22/09/2019 15:30:00,0.00
22/09/2019 15:32:00,0.00
22/09/2019 15:34:00,60.40
22/09/2019 15:36:00,59.10
22/09/2019 15:38:00,59.20
22/09/2019 15:40:00,59.20
22/09/2019 15:42:00,59.40
22/09/2019 15:44:00,59.00
22/09/2019 15:46:00,58.60
22/09/2019 15:48:00,0.20
22/09/2019 15:50:00,0.30
22/09/2019 15:52:00,0.30
22/09/2019 15:54:00,0.20
22/09/2019 15:56:00,0.20
22/09/2019 15:58:00,0.00
22/09/2019 16:00:00,0.20
22/09/2019 16:02:00,0.20
22/09/2019 16:04:00,0.20
22/09/2019 16:06:00,0.30
22/09/2019 16:08:00,0.00
22/09/2019 16:10:00,0.20
22/09/2019 16:12:00,0.00
22/09/2019 16:14:00,68.10
22/09/2019 16:16:00,59.00
22/09/2019 16:18:00,59.30
22/09/2019 16:20:00,59.30
22/09/2019 16:22:00,59.00
22/09/2019 16:24:00,59.20
22/09/2019 16:26:00,58.60
22/09/2019 16:28:00,0.20
22/09/2019 16:30:00,0.20
22/09/2019 16:32:00,0.20
22/09/2019 16:34:00,0.00
22/09/2019 16:36:00,0.00
